reading time,reader id,poster id
2012-11-23 10:36:00,41,205
2012-11-23 10:36:00,205,170
2012-11-23 10:36:00,78,170
2012-11-23 10:36:00,60,170
2012-11-23 10:36:00,224,152
2012-11-23 10:36:00,132,152
2012-11-23 10:36:00,39,152
2012-11-23 10:36:00,146,132
2012-11-23 10:36:00,170,78
2012-11-23 10:36:00,133,4
2012-11-23 10:36:00,133,4
2012-11-23 10:37:00,43,313
2012-11-23 10:37:00,135,310
2012-11-23 10:37:00,12,246
2012-11-23 10:37:00,313,152
2012-11-23 10:37:00,214,152
2012-11-23 10:37:00,39,152
2012-11-23 10:37:00,152,133
2012-11-23 10:37:00,152,78
2012-11-23 10:37:00,39,78
2012-11-23 10:37:00,152,4
2012-11-23 10:38:00,290,313
2012-11-23 10:38:00,224,313
2012-11-23 10:38:00,28,313
2012-11-23 10:38:00,6,313
2012-11-23 10:38:00,132,310
2012-11-23 10:38:00,246,152
2012-11-23 10:38:00,224,78
2012-11-23 10:38:00,6,28
2012-11-23 10:38:00,152,4
2012-11-23 10:39:00,44,313
2012-11-23 10:39:00,290,246
2012-11-23 10:39:00,44,246
2012-11-23 10:39:00,290,205
2012-11-23 10:39:00,78,205
2012-11-23 10:39:00,60,170
2012-11-23 10:39:00,43,170
2012-11-23 10:39:00,28,152
2012-11-23 10:39:00,12,152
2012-11-23 10:39:00,224,106
2012-11-23 10:39:00,106,78
2012-11-23 10:39:00,246,53
2012-11-23 10:40:00,78,297
2012-11-23 10:40:00,78,297
2012-11-23 10:40:00,78,280
2012-11-23 10:40:00,78,280
2012-11-23 10:40:00,146,170
2012-11-23 10:40:00,196,152
2012-11-23 10:40:00,78,132
2012-11-23 10:40:00,244,106
2012-11-23 10:40:00,290,78
2012-11-23 10:40:00,158,78
2012-11-23 10:40:00,224,75
2012-11-23 10:40:00,78,13
2012-11-23 10:40:00,158,6
2012-11-23 10:41:00,205,313
2012-11-23 10:41:00,158,313
2012-11-23 10:41:00,78,297
2012-11-23 10:41:00,78,246
2012-11-23 10:41:00,78,224
2012-11-23 10:41:00,313,152
2012-11-23 10:41:00,158,152
2012-11-23 10:41:00,158,106
2012-11-23 10:41:00,224,78
2012-11-23 10:41:00,256,75
2012-11-23 10:41:00,158,75
2012-11-23 10:41:00,12,75
2012-11-23 10:41:00,78,35
2012-11-23 10:41:00,132,28
2012-11-23 10:42:00,256,313
2012-11-23 10:42:00,78,297
2012-11-23 10:42:00,290,280
2012-11-23 10:42:00,256,246
2012-11-23 10:42:00,78,172
2012-11-23 10:42:00,205,152
2012-11-23 10:42:00,60,132
2012-11-23 10:42:00,106,75
2012-11-23 10:42:00,60,75
2012-11-23 10:43:00,135,170
2012-11-23 10:43:00,244,152
2012-11-23 10:43:00,224,152
2012-11-23 10:43:00,187,106
2012-11-23 10:43:00,205,28
2012-11-23 10:44:00,60,313
2012-11-23 10:44:00,224,256
2012-11-23 10:44:00,44,152
2012-11-23 10:44:00,12,152
2012-11-23 10:44:00,170,132
2012-11-23 10:44:00,8,132
2012-11-23 10:44:00,170,78
2012-11-23 10:44:00,224,44
2012-11-23 10:45:00,152,170
2012-11-23 10:45:00,244,152
2012-11-23 10:45:00,75,152
2012-11-23 10:45:00,170,75
2012-11-23 10:45:00,146,44
2012-11-23 10:45:00,78,44
2012-11-23 10:45:00,44,6
2012-11-23 10:46:00,272,170
2012-11-23 10:46:00,244,170
2012-11-23 10:46:00,12,170
2012-11-23 10:46:00,44,133
2012-11-23 10:46:00,224,78
2012-11-23 10:46:00,152,78
2012-11-23 10:46:00,152,78
2012-11-23 10:46:00,44,78
2012-11-23 10:46:00,35,78
2012-11-23 10:46:00,13,78
2012-11-23 10:46:00,12,78
2012-11-23 10:46:00,35,44
2012-11-23 10:47:00,8,280
2012-11-23 10:47:00,272,260
2012-11-23 10:47:00,60,205
2012-11-23 10:47:00,224,196
2012-11-23 10:47:00,152,196
2012-11-23 10:47:00,60,170
2012-11-23 10:47:00,44,170
2012-11-23 10:47:00,35,152
2012-11-23 10:47:00,272,78
2012-11-23 10:47:00,260,78
2012-11-23 10:47:00,132,78
2012-11-23 10:47:00,244,75
2012-11-23 10:47:00,205,75
2012-11-23 10:47:00,196,44
2012-11-23 10:47:00,39,44
2012-11-23 10:48:00,224,260
2012-11-23 10:48:00,152,260
2012-11-23 10:48:00,65,260
2012-11-23 10:48:00,272,256
2012-11-23 10:48:00,272,196
2012-11-23 10:48:00,244,196
2012-11-23 10:48:00,260,170
2012-11-23 10:48:00,35,170
2012-11-23 10:48:00,272,152
2012-11-23 10:48:00,60,133
2012-11-23 10:48:00,152,78
2012-11-23 10:48:00,297,44
2012-11-23 10:48:00,272,44
2012-11-23 10:49:00,196,78
2012-11-23 10:49:00,152,78
2012-11-23 10:49:00,43,78
2012-11-23 10:49:00,152,44
2012-11-23 10:49:00,135,44
2012-11-23 10:50:00,39,78
2012-11-23 10:50:00,272,43
2012-11-23 10:50:00,272,43
2012-11-23 10:50:00,152,43
2012-11-23 10:50:00,272,39
2012-11-23 10:50:00,152,39
2012-11-23 10:50:00,152,39
2012-11-23 10:50:00,43,39
2012-11-23 10:51:00,224,290
2012-11-23 10:51:00,152,260
2012-11-23 10:51:00,152,260
2012-11-23 10:51:00,272,170
2012-11-23 10:52:00,272,290
2012-11-23 10:52:00,12,290
2012-11-23 10:52:00,280,260
2012-11-23 10:52:00,272,12
2012-11-23 10:52:00,152,12
2012-11-23 10:52:00,60,12
2012-11-23 10:53:00,65,290
2012-11-23 10:53:00,60,290
2012-11-23 10:53:00,42,290
2012-11-23 10:53:00,152,224
2012-11-23 10:53:00,152,224
2012-11-23 10:53:00,272,106
2012-11-23 10:53:00,272,75
2012-11-23 10:53:00,280,39
2012-11-23 10:53:00,301,35
2012-11-23 10:53:00,301,12
2012-11-23 10:53:00,35,12
2012-11-23 10:54:00,13,260
2012-11-23 10:54:00,280,224
2012-11-23 10:54:00,42,196
2012-11-23 10:54:00,132,170
2012-11-23 10:54:00,272,146
2012-11-23 10:54:00,272,146
2012-11-23 10:54:00,139,146
2012-11-23 10:54:00,60,146
2012-11-23 10:54:00,301,42
2012-11-23 10:54:00,272,42
2012-11-23 10:54:00,260,39
2012-11-23 10:54:00,35,39
2012-11-23 10:54:00,272,35
2012-11-23 10:54:00,60,35
2012-11-23 10:54:00,272,13
2012-11-23 10:55:00,272,313
2012-11-23 10:55:00,267,290
2012-11-23 10:55:00,272,224
2012-11-23 10:55:00,132,224
2012-11-23 10:55:00,78,196
2012-11-23 10:55:00,78,152
2012-11-23 10:55:00,78,148
2012-11-23 10:55:00,272,146
2012-11-23 10:55:00,85,146
2012-11-23 10:55:00,65,146
2012-11-23 10:55:00,277,132
2012-11-23 10:55:00,42,132
2012-11-23 10:55:00,272,78
2012-11-23 10:55:00,272,65
2012-11-23 10:55:00,267,65
2012-11-23 10:55:00,85,65
2012-11-23 10:55:00,78,44
2012-11-23 10:55:00,39,43
2012-11-23 10:55:00,177,42
2012-11-23 10:55:00,272,28
2012-11-23 10:55:00,280,13
2012-11-23 10:55:00,177,13
2012-11-23 10:55:00,272,12
2012-11-23 10:55:00,43,12
2012-11-23 10:55:00,272,6
2012-11-23 10:55:00,272,6
2012-11-23 10:56:00,272,310
2012-11-23 10:56:00,42,280
2012-11-23 10:56:00,301,260
2012-11-23 10:56:00,272,246
2012-11-23 10:56:00,244,224
2012-11-23 10:56:00,272,205
2012-11-23 10:56:00,78,194
2012-11-23 10:56:00,272,152
2012-11-23 10:56:00,272,152
2012-11-23 10:56:00,85,146
2012-11-23 10:56:00,272,133
2012-11-23 10:56:00,272,98
2012-11-23 10:56:00,272,78
2012-11-23 10:56:00,272,78
2012-11-23 10:56:00,272,78
2012-11-23 10:56:00,267,44
2012-11-23 10:56:00,177,43
2012-11-23 10:56:00,277,39
2012-11-23 10:56:00,177,35
2012-11-23 10:56:00,152,35
2012-11-23 10:56:00,78,13
2012-11-23 10:56:00,65,13
2012-11-23 10:56:00,39,13
2012-11-23 10:57:00,272,307
2012-11-23 10:57:00,272,297
2012-11-23 10:57:00,272,297
2012-11-23 10:57:00,177,290
2012-11-23 10:57:00,60,260
2012-11-23 10:57:00,272,244
2012-11-23 10:57:00,272,224
2012-11-23 10:57:00,152,224
2012-11-23 10:57:00,152,224
2012-11-23 10:57:00,272,194
2012-11-23 10:57:00,272,172
2012-11-23 10:57:00,272,170
2012-11-23 10:57:00,272,168
2012-11-23 10:57:00,65,152
2012-11-23 10:57:00,272,148
2012-11-23 10:57:00,272,148
2012-11-23 10:57:00,272,132
2012-11-23 10:57:00,272,119
2012-11-23 10:57:00,280,75
2012-11-23 10:57:00,152,65
2012-11-23 10:57:00,272,60
2012-11-23 10:57:00,272,53
2012-11-23 10:57:00,244,42
2012-11-23 10:57:00,244,13
2012-11-23 10:57:00,272,12
2012-11-23 10:57:00,272,4
2012-11-23 10:57:00,272,2
2012-11-23 10:58:00,42,260
2012-11-23 10:58:00,177,224
2012-11-23 10:58:00,272,152
2012-11-23 10:58:00,21,152
2012-11-23 10:58:00,13,152
2012-11-23 10:58:00,152,146
2012-11-23 10:58:00,21,146
2012-11-23 10:58:00,272,65
2012-11-23 10:58:00,152,65
2012-11-23 10:58:00,280,43
2012-11-23 10:58:00,78,28
2012-11-23 10:59:00,267,290
2012-11-23 10:59:00,12,290
2012-11-23 10:59:00,78,152
2012-11-23 10:59:00,35,152
2012-11-23 10:59:00,267,126
2012-11-23 10:59:00,42,78
2012-11-23 10:59:00,152,35
2012-11-23 10:59:00,177,13
2012-11-23 11:00:00,272,267
2012-11-23 11:00:00,244,267
2012-11-23 11:00:00,85,267
2012-11-23 11:00:00,272,152
2012-11-23 11:00:00,60,152
2012-11-23 11:00:00,272,126
2012-11-23 11:00:00,301,85
2012-11-23 11:00:00,272,85
2012-11-23 11:00:00,272,85
2012-11-23 11:00:00,13,85
2012-11-23 11:00:00,7,85
2012-11-23 11:00:00,65,42
2012-11-23 11:00:00,85,13
2012-11-23 11:01:00,13,267
2012-11-23 11:01:00,12,85
2012-11-23 11:01:00,135,42
2012-11-23 11:01:00,39,42
2012-11-23 11:02:00,13,224
2012-11-23 11:02:00,331,170
2012-11-23 11:02:00,332,152
2012-11-23 11:02:00,21,146
2012-11-23 11:02:00,331,132
2012-11-23 11:02:00,152,13
2012-11-23 11:02:00,42,13
2012-11-23 11:03:00,21,277
2012-11-23 11:03:00,42,170
